name,pop,lat,lng
Tokyo,35676000,35.685,139.7514
New York,19354922,40.6943,-73.9249
Mexico City,19028000,19.4424,-99.131
Mumbai,18978000,19.017,72.857
São Paulo,18845000,-23.5587,-46.625
Delhi,15926000,28.67,77.23
Shanghai,14987000,31.2165,121.4365
Kolkata,14787000,22.495,88.3247
Los Angeles,12815475,34.1139,-118.4068
Dhaka,12797394,23.7231,90.4086
Buenos Aires,12795000,-34.6025,-58.3975
Karachi,12130000,24.87,66.99
Cairo,11893000,30.05,31.25
Rio de Janeiro,11748000,-22.925,-43.225
Ōsaka,11294000,34.75,135.4601
Beijing,11106000,39.9289,116.3883
Manila,11100000,14.6042,120.9822
Moscow,10452000,55.7522,37.6155
Istanbul,10061000,41.105,29.01
Paris,9904000,48.8667,2.3333
Seoul,9796000,37.5663,126.9997
Lagos,9466000,6.4433,3.3915
Jakarta,9125000,-6.1744,106.8294
Guangzhou,8829000,23.145,113.325
Chicago,8675982,41.8373,-87.6862
London,8567000,51.5,-0.1167
Lima,8012000,-12.048,-77.0501
Tehran,7873000,35.6719,51.4243
Kinshasa,7843000,-4.3297,15.315
Bogotá,7772000,4.5964,-74.0833
Shenzhen,7581000,22.5524,114.1221
Wuhan,7243000,30.58,114.27
Hong Kong,7206000,22.305,114.185
Tianjin,7180000,39.13,117.2
Chennai,7163000,13.09,80.28
Taipei,6900273,25.0358,121.5683
Bengalūru,6787000,12.97,77.56
Bangkok,6704000,13.75,100.5166
Lahore,6577000,31.56,74.35
Chongqing,6461000,29.565,106.595
Miami,6381966,25.7839,-80.2102
Hyderabad,6376000,17.4,78.48
Dallas,5733259,32.7936,-96.7662
Santiago,5720000,-33.45,-70.667
Philadelphia,5637884,40.0077,-75.1339
Belo Horizonte,5575000,-19.915,-43.915
Madrid,5567000,40.4,-3.6834
Houston,5446468,29.7869,-95.3905
Ahmadābād,5375000,23.0301,72.58
Ho Chi Minh City,5314000,10.78,106.695
Washington,5289420,38.9047,-77.0163
Atlanta,5228750,33.7627,-84.4225
Toronto,5213000,43.7,-79.42
Singapore,5183700,1.293,103.8558
Luanda,5172900,-8.8383,13.2344
Baghdad,5054000,33.3386,44.3939
Barcelona,4920000,41.3833,2.1834
Hāora,4841638,22.5804,88.3299
Shenyang,4787000,41.805,123.45
Khartoum,4754000,15.5881,32.5342
